Song Name,Singer,Lyrics
Eté 90,Therapie Taxi,"On a dévalé la pente en moins d'deux
On a fait comme si on savait pas
On a évité les regards ambigus
On a fait comme si on pouvait pas
On a dessiné la zone, évité les roses
Repoussé la faune, compliqué les choses
Mais maudit ami, je veux plus
Danser ce slow avec toi
Souviens-toi des années 90
Quand dans la cour, tous les jours, j'étais ton roi
Tu as bien grandi et tu me brusques
Et parfois même, tu te loves dans mes bras
Mais jamais, jamais, jamais plus
Car je le sais, je suis l'homme qu'on n'voit pas
Et si le soleil se lève sur les autres
Je sais qu'c'est moi qui ai chassé les roses
Amour d'amour, tu le sais, c'est ma faute
J'ai bien trop peur pour casser les choses
On va s'en tenir simplement à nos rôles
(Simplement à nos rôles, simplement à nos rôles)
Je sais qu'c'est triste mais je suis sous hypnose
(Je suis sous hypnose)
Tu as décidé des règles en fin d'jeu
J'étais teenager amoureuse
Puis le temps s'est écoulé en moins d'deux
Finies les années délicieuses
Mais maudit ami, je veux plus
Danser ce slow avec toi
Souviens-toi des années 90
Quand dans la cour, tous les jours
T'étais mon roi
Et si le soleil se lève sur les autres
Je sais qu'c'est moi qui ai chassé les roses
Amour d'amour, tu le sais, c'est ma faute
J'ai bien trop peur pour casser les choses
On va s'en tenir simplement à nos rôles
(Simplement à nos rôles, simplement à nos rôles)
Je sais qu'c'est triste mais je suis sous hypnose
Plus tu t'approches et plus j'appuie sur pause
Et seule tous les soirs, et seul tous les soirs
Et seule tous les soirs, je reste dans le noir
Et seul tous les soirs, je reste dans le noir
Et seule tous les soirs, je reste dans le noir
Et seul tous les soirs, je reste dans le noir
(Et si le soleil se lève sur les autres
Je sais qu'c'est moi qui ai chassé les roses)
Amour d'amour, tu le sais, c'est ma faute
J'ai bien trop peur pour casser les choses
Et si le soleil se lève sur les autres
Je sais qu'c'est moi qui ai chassé les roses
Amour d'amour, tu le sais, c'est ma faute
J'ai bien trop peur pour casser les choses
On va s'en tenir simplement à nos rôles
Je serai là, toujours ton épaule
Je sais qu'c'est triste mais je suis sous hypnose
Plus tu t'approches et plus j'appuie sur pause"
Formidable,Stromae,"Formidable, formidable
Tu étais formidable, j'étais fort minable
Nous étions formidables
Formidable
Tu étais formidable, j'étais fort minable
Nous étions formidables
Oh, Bébé, oups, Mademoiselle
J'vais pas vous draguer, promis juré
J'suis célibataire, depuis hier, putain
J'peux pas faire d'enfant et bon, c'est pas...
Hé, reviens, cinq minutes quoi, j't'ai pas insultée
J'suis poli, courtois, et un peu fort bourré
Mais pour les mecs comme moi
Vous avez autre chose à faire, hein
M'auriez vu hier
J'étais formidable, formidable
Tu étais formidable, j'étais fort minable
Nous étions formidables
Formidable
Tu étais formidable, j'étais fort minable
Nous étions formidables
Oh, tu t'es regardé? Tu t'crois beau
Parce que tu t'es marié? Mais c'est qu'un anneau
Mec, t'emballes pas
Elle va t'larguer comme elles le font chaque fois
Et puis l'autre fille, tu lui en as parlé?
S'tu veux j'lui dis, comme ça c'est réglé
Et au petit aussi, enfin si vous en avez
Attends trois ans, sept ans et là vous verrez
Si c'est formidable, formidable
Tu étais formidable, j'étais fort minable
Nous étions formidables
Formidable
Tu étais formidable, j'étais fort minable
Nous étions formidables
Hé petite, oh pardon, petit
Tu sais dans la vie, y a ni méchants ni gentils
Si Maman est chiante
C'est qu'elle a peur d'être mamie
Si Papa trompe Maman
C'est parce que Maman vieillit, tiens
Pourquoi t'es tout rouge? Ben reviens gamin
Et qu'est-ce que vous avez tous
À me regarder comme un singe, vous?
Ah oui, vous êtes saints, vous
Bande de macaques
Donnez-moi un bébé singe
Il sera formidable, formidable
Tu étais formidable, j'étais fort minable
Nous étions formidables
Formidable
Tu étais formidable, j'étais fort minable
Nous étions formidables"
Hymne A L'Amour,Édith Piaf,"Le ciel bleu sur nous peut s'effondrer
Et la Terre peut bien s'écrouler
Peu m'importe si tu m'aimes
Je me fous du monde entier
Tant qu'l'amour innondera mes matins
Tant qu'mon corps frémira sous tes mains
Peu m'importe les problèmes
Mon amour, puisque tu m'aimes
J'irais jusqu'au bout du monde
Je me ferais teindre en blonde
Si tu me le demandais
J'irais décrocher la Lune
J'irais voler la fortune
Si tu me le demandais
Je renierais ma patrie
Je renierais mes amis
Si tu me le demandais
On peut bien rire de moi
Je ferais n'importe quoi
Si tu me le demandais
Si un jour, la vie t'arrache à moi
Si tu meurs, que tu sois loin de moi
Peu m'importe si tu m'aimes
Car moi je mourrais aussi
Nous aurons pour nous l'éternité
Dans le bleu de toute l'immensité
Dans le ciel, plus de problème
Mon amour, crois-tu qu'on s'aime?
Dieu réunit ceux qui s'aiment"
J'Ai Demandé à la Lune,Indochine,"Hmm, hmm, hmm
J'ai demandé à la lune
Et le soleil ne le sait pas
Je lui ai montré mes brûlures
Et la lune s'est moquée de moi
Et comme le ciel n'avait pas fière allure
Et que je ne guérissais pas
Je me suis dit ""quelle infortune""
Et la lune s'est moquée de moi
J'ai demandé à la lune
Si tu voulais encore de moi
Elle m'a dit ""j'ai pas l'habitude""
""De m'occuper des cas comme ça""
Et toi et moi
On était tellement sûrs
Et on se disait quelquefois
Que c'était juste une aventure
Et que ça ne durerait pas
Je n'ai pas grand chose à te dire
Et pas grand chose pour te faire rire
Car j'imagine toujours le pire
Et le meilleur me fait souffrir
J'ai demandé à la lune
Si tu voulais encore de moi
Elle m'a dit ""j'ai pas l'habitude
De m'occuper des cas comme ça""
Et toi et moi
On était tellement sûrs
Et on se disait quelquefois
Que c'était juste une aventure
Et que ça ne durerait pas, ah-ah-ah"
J'ai besoin de la Lune,Manu Chao,"J'ai besoin de la lune
Pour lui parler la nuit
J'ai besoin du soleil
Pour me chauffer la vie
J'ai besoin de la mer
Pour regarder au loin
J'ai tant besoin de toi
Tout à côté de moi
J'ai besoin de la lune
Pour voir venir le jour
Tant besoin du soleil
Pour l'appeler la nuit
J'ai besoin de la mer
Tout à côté de moi
J'ai tant besoin de toi
Pour me sauver la vie
J'ai besoin de mon père
Pour savoir d'ou je viens
Tant besoin de ma mère
Pour montrer le chemin
J'ai besoin du métro
Pour aller boire un verre
Tant besoin d'oublier
Tant besoin de prières
J'ai besoin de la lune
Pour lui parler la nuit
J'ai besoin de la lune
Pour lui parler la nuit
Tant besoin du soleil
Pour me chauffer la vie
J'ai besoin de la mer
Pour regarder au loin
J'ai tant besoin de toi
Tout à côté de moi
J'ai besoin de la terre
Pour connaître l'enfer
Tant besoin d'un p'tit coin
Pour pisser le matin
J'ai tant besoin d'amour
Tant besoin tous les jours
J'ai tant besoin de toi
Tout à côté de moi
J'ai tant rêvé d'un jour
De marcher sous la lune
J'ai tant rêvé d'un soir
Au soleil de tes nuits
J'ai tant rêvé d'une vie
À dormir ce matin
J'ai besoin de la lune
Pour lui parler la nuit
J'ai besoin de la lune
Pour lui parler la nuit
Pas besoin de la mort
Pour rire à mon destin
J'ai besoin de la lune
Pour lui parler la nuit
Pas besoin de la mort
Pour rire à mon destin"
Je T'aime,Lara Fabian,"D'accord, il existait
D'autres façons de se quitter
Quelques éclats de verre
Auraient peut-être pu nous aider
Dans ce silence amer
J'ai décidé de pardonner
Les erreurs qu'on peut faire
À trop s'aimer
D'accord, la petite fille
En moi souvent te réclamait
Presque comme une mère
Tu me bordais, me protégeais
Je t'ai volé ce sang
Qu'on aurait pas dû partager
À bout de mots, de rêves
Je vais crier
Je t'aime, je t'aime
Comme un fou, comme un soldat
Comme une star de cinéma
Je t'aime, je t'aime
Comme un loup, comme un roi
Comme un homme que je ne suis pas
Tu vois, je t'aime comme ça
D'accord je t'ai confié
Tous mes sourires, tous mes secrets
Même ceux dont seul un frère
Est le gardien inavoué
Dans cette maison de pierre
Satan nous regardait danser
J'ai tant voulu la guerre
De corps qui se faisaient la paix
Je t'aime, je t'aime
Comme un fou, comme un soldat
Comme une star de cinéma
Je t'aime, je t'aime
Comme un loup, comme un roi
Comme un homme que je ne suis pas
Tu vois, je t'aime comme ça
Je t'aime, je t'aime
Comme un fou, comme un soldat
Comme une star de cinéma
Je t'aime, je t'aime, je t'aime, je t'aime, je t'aime, je t'aime
Comme un loup, comme un roi
Comme un homme que je ne suis pas
Tu vois, je t'aime comme ça, ouuh
Tu vois, je t'aime comme ça"
Je me déteste,Nuit Incolore,"Tous mes coups de cœur ont des goûts de pleurs
Les feux d'artifice ressortent loin des lueurs
Les vautours m'effleurent quand l'esprit se meurt
Je m'en vais retrouver couleur quelque part ailleurs
Je suis né pour décevoir
Porte-parole du désespoir
Je vise la moyenne pour ne pas être différent
Je fréquente les âmes en peine pour braver l'ouragan
Je glisse mes songes sous l'oreiller
Évitons de les réveiller
J'veux être apprécié par au moins quelques étoiles
Je désire que l'on m'espère comme un dernier pétale
Et tout en bas
Soyez heureux
Sans moi (sans moi)
Je me déteste encore
Je nous déteste jusqu'à la mort
Je me déteste encore
Je nous déteste jusqu'à la mort
La noirceur coule à flots loin des regards
Je m'y baigne souvent sans en prendre garde
Je souris à contresens quand on me dit ""prends soin de toi""
J'apprécie enfin le silence quand le vide m'embrasse
Je joue toujours à tout sans vraiment m'amuser
Je n'assume pas ma présence, je ne fais que de m'excuser
Pardonnez-moi si je ne suis pas ce gars
Qui plaît en vendant des rêves au bon endroit
Je veux plus essayer
J'ai la face bien trop souillée
Je recherche mon aimant qui m'aimera profondément
Évidemment qu'avidement, j'ai envie d'amante
Et tout en bas
Soyez heureux
Sans moi (sans moi)
Je me déteste encore
Je nous déteste jusqu'à la mort
Je me déteste encore
Je nous déteste jusqu'à la mort
Confidence
Ce ne sont que des confidences
Je n'ai plus envie de danser ce soir
Je me suis déjà ancré dans certaines mémoires
Mais pourquoi ça recommence
Les temps mauvais recommencent
À jamais, je fermerai le regard
À mon enterrement, je ne serai pas en retard
(pas en retard)
Je me déteste encore
Je nous déteste jusqu'à la mort
Je me déteste encore
Je nous déteste jusqu'à la mort"
Je te promets,Johnny Hallyday,"Je te promets le sel au baiser de ma bouche
Je te promets le miel à ma main qui te touche
Je te promets le ciel au dessus de ta couche
Des fleurs et des dentelles pour que tes nuits soient douces
Je te promets la clé des secrets de mon âme
Je te promets la vie de mes rires à mes larmes
Je te promets le feu à la place des armes
Plus jamais des adieux rien que des au-revoirs

J′y crois comme à la terre, j'y crois comme au soleil
J′y crois comme un enfant, comme on peut croire au ciel
J'y crois comme à ta peau, à tes bras qui me serrent
J'te promets une histoire différente des autres
J′ai tant besoin d′y croire encore


Je te promets des jours tout bleus comme tes veines
Je te promets des nuits rouges comme tes rêves
Des heures incandescentes et des minutes blanches
Des secondes insouciantes au rythme de tes hanches
Je te promets mes bras pour porter tes angoisses
Je te promets mes mains pour que tu les embrasses
Je te promets mes yeux si tu ne peux plus voir
J'te promets d′être heureux si tu n'as plus d′espoir

J'y crois comme à la terre, j′y crois comme au soleil
J'y crois comme un enfant, comme on peut croire au ciel
J'y crois comme à ta peau, à tes bras qui me serrent
J′te promets une histoire différente des autres
Si tu m′aides à y croire encore

Et même si c'est pas vrai, si on te l′a trop fait
Si les mots sont usés, comme écrits à la craie
On fait bien des grands feux en frottant des cailloux
Peut-être avec le temps à la force d'y croire
On peut juste essayer pour voir

Et même si c′est pas vrai, même si je mens
Si les mots sont usés, légers comme du vent
Et même si notre histoire se termine au matin
J'te promets un moment de fièvre et de douceur
Pas toute la vie mais quelques heures

Je te promets le sel au baiser de ma bouche
Je te promets le miel à ma main qui te touche
Je te promets le ciel au dessus de ta couche
Des fleurs et des dentelles pour que tes nuits soient douces
"
Joe le taxi,Vanessa Paradis,"Barbesse
Bienvenue chez Joe
Joe le taxi, il va pas partout
Il marche pas au soda
Son saxo jaune
Connaît toutes les rues par cœur
Tous les petits bars
Tous les coins noirs
Et la Seine
Et ses ponts qui brillent
Dans sa caisse
La musique à Joe
C'est la rumba
Le vieux rock au mambo
Joe le taxi
C'est sa vie
Le rhum au mambo
Embouteillage
Il est comme ça
Rhum et mambo
Joe, Joe, Joe
Dans sa caisse (Joe, Joe, Joe)
La musique à Joe résonne (Joe, Joe, Joe)
C'est la rumba (Joe, Joe, Joe)
Le vieux rock au mambo bidon (Joe, Joe, Joe)
Vas-y Joe (Joe, Joe, Joe)
Vas-y Joe (Joe, Joe, Joe)
Vas-y fonce (Joe, Joe, Joe)
Dans la nuit vers l'Amazone (Joe, Joe, Joe)
Joe le taxi
Et Xavier Cugat
Joe le taxi
Et Yma Sumac
Joe, Joe, Joe
Joe le taxi
C'est sa vie
Le rhum au mambo
Embouteillage
Joe le taxi
Et les Mariachis
Joe le taxi (Joe, Joe, Joe)
Et le cha-cha-chi (Joe, Joe, Joe)
Joe le taxi (Joe, Joe, Joe)
Et le cha-cha-chi (Joe, Joe, Joe)
Vas-y Joe (Joe, Joe, Joe)
Vas-y fonce (Joe, Joe, Joe)
Dans la nuit vers l'Amazone (Joe, Joe, Joe)
Joe le taxi (Joe, Joe, Joe)
Et le cha-cha-chi (Joe, Joe, Joe)
Joe le taxi (Joe, Joe, Joe)"
L'Aventurier,Indochine,"Égaré dans la vallée infernale
Le héros s'appelle Bob Morane
À la recherche de l'Ombre Jaune
Le bandit s'appelle mister Kali Jones
Avec l'ami Bill Ballantine
Sauvé de justesse des crocodiles
Stop au trafic des Caraïbes
Escale dans l'opération Nadawieb
Le cœur tendre dans le lit de Miss Clark
Prisonnière du Sultan de Jarawak
En pleine terreur à Manicouagan
Isolé dans la jungle birmane
Emprisonnant les flibustiers
L'ennemi y est démasqué
On a volé le collier de Civa
Le Maharadjah en répondra
Et soudain surgit face au vent
Le vrai héros de tous les temps
Bob Morane contre tout chacal
L'aventurier contre tout guerrier
Bob Morane contre tout chacal
L'aventurier contre tout guerrier
Dérivant à bord du Sampang
L'aventure au parfum d'Ylalang
Son surnom, Samouraï du Soleil
En démantelant le gang de l'Archipel
L'otage des guerriers du Doc Xhatan
Il s'en sortira toujours à temps
Tel L'aventurier solitaire
Bob Morane est le roi de la terre
Et soudain surgit face au vent
Le vrai héros de tous les temps
Bob Morane contre tous chacal
L'aventurier contre tout guerrier
Bob Morane contre tout chacal
L'aventurier contre tout guerrier"
La Seine,Vanessa Paradis,"Elle sort de son lit, tellement sûre d′elle
La Seine, la Seine, la Seine
Tellement jolie, elle m'ensorcelle
La Seine, la Seine, la Seine

Extralucide, la Lune est sur
La Seine, la Seine, la Seine
Tu n′es pas saoul, Paris est sous
La Seine, la Seine, la Seine

Je ne sais, ne sais, ne sais pas pourquoi
On s'aime comme ça, la Seine et moi
Je ne sais, ne sais, ne sais pas pourquoi
On s'aime comme ça, la Seine et moi

Extra Lucille quand tu es sur
La scène, la scène, la scène
Extravagante quand l′ange est sur
La scène, la scène, la scène


Je ne sais, ne sais, ne sais pas pourquoi
On s′aime comme ça, la Seine et moi
Je ne sais, ne sais, ne sais pas pourquoi
On s'aime comme ça, la Seine et moi

Sur le Pont des Arts (mon cœur vacille)
Entre deux eaux (l′air est si bon)
Cet air si pur (je le respire)
Nos reflets perchés (sur ce pont)

Tu lu, ti, luti
Tu lu, ti, luti
On s'aime comme ça, la Seine et moi

Tu lu, ti, luti
Tu lu, ti, luti
On s′aime comme ça, la Seine et moi

Tu lu, ti, luti
Tu lu, ti, luti
On s'aime comme ça, la Seine et moi

Tu lu, ti, luti
Tu lu, ti, luti
On s′aime comme ça, la Seine et moi"
La Terre est ronde,Orelsan,"Au fond, j'crois qu'la Terre est ronde
Pour une seule bonne raison
Après avoir fait l'tour du monde
Tout c'qu'on veut, c'est être à la maison
T'as besoin d'une voiture pour aller travailler
Tu travailles pour rembourser la voiture que tu viens d'acheter (viens d'acheter)
Tu vois l'genre de cercle vicieux?
Le genre de trucs qui donne envie d'tout faire sauf de mourir vieux (mourir vieux)
Tu peux courir à l'infini
À la poursuite du bonheur
La Terre est ronde, autant l'attendre ici (l'attendre ici)
J'suis pas fainéant mais j'ai la flemme
Et ça va finir en arrêt maladie pour toute la semaine (toute la semaine)
J'veux profiter des gens qu'j'aime
J'veux prendre le temps, avant qu'le temps m'prenne et m'emmène (et m'emmène)
J'ai des centaines de trucs sur le feu
Mais j'ferai juste c'que je veux quand même
Au fond, j'crois qu'la Terre est ronde
Pour une seule bonne raison
Après avoir fait l'tour du monde
Tout c'qu'on veut, c'est être à la maison
Au fond, j'crois qu'la Terre est ronde
Pour une seule bonne raison
Après avoir fait l'tour du monde
Tout c'qu'on veut, c'est être à la maison
Les rappeurs cainris donnent les mêmes conseils que mes parents
Fais c'que tu veux dans ta vie, mais surtout, fais d'l'argent (fais d'l'argent)
J'essaye de trouver l'équilibre
À quoi ça sert de préparer l'avenir si t'oublies d'vivre? (t'oublies d'vivre)
En caleçon qui m'sert de pyjama
Au lieu d'lécher mon patron pour une avance qu'il m'filera pas (m'filera pas)
Ce soir, j'rameuterai l'équipe
En attendant, merci d'appeler
Mais s'il te plaît, parle après l'bip (parle après l'bip)
Aujourd'hui, je me sens bien
J'voudrais pas tout gâcher
J'vais tout remettre au lendemain (au lendemain)
Y'a vraiment rien dont j'ai vraiment besoin
On verra bien si j'me perds en chemin
Au fond, j'crois qu'la Terre est ronde
Pour une seule bonne raison
Après avoir fait l'tour du monde
Tout c'qu'on veut, c'est être à la maison
Au fond, j'crois qu'la Terre est ronde
Pour une seule bonne raison
Après avoir fait l'tour du monde
Tout c'qu'on veut, c'est être à la maison
Pourquoi faire tout d'suite tout c'qu'on peut faire plus tard? (plus tard)
Tout c'qu'on veut c'est profiter d'l'instant (d'l'instant)
On s'épanouit dans la lumière du soir (du soir)
Tout c'qu'on veut c'est pouvoir vivre maintenant (maintenant)
Pourquoi faire tout d'suite tout c'qu'on peut faire plus tard? (plus tard)
Tout c'qu'on veut c'est profiter d'l'instant (d'l'instant)
On s'épanouit dans la lumière du soir (du soir)
Tout c'qu'on veut c'est pouvoir vivre maintenant (maintenant)
Au fond, j'crois qu'la Terre est ronde
Pour une seule bonne raison
Après avoir fait l'tour du monde
Tout c'qu'on veut, c'est être à la maison
Au fond, j'crois qu'la Terre est ronde
Pour une seule bonne raison
Après avoir fait l'tour du monde
Tout c'qu'on veut, c'est être à la maison
Au fond, j'crois qu'la Terre est ronde
Pour une seule bonne raison
Après avoir fait l'tour du monde
Tout c'qu'on veut, c'est être à la maison"
La Tribu de Dana,Manau,"Le vent souffle sur les plaines de la Bretagne armoricaine
Je jette un dernier regard sur ma femme, mon fils et mon domaine
Akim, le fils du forgeron est venu me chercher
Les druides ont décidé de mener le combat dans la vallée
Là où tous nos ancêtres, de géants guerriers Celtes
Après de grandes batailles se sont imposés en maîtres
C'est l'heure maintenant de défendre notre terre
Contre une armée de Cimmériens prête à croiser le fer
Toute la tribu s'est réunie autour de grands menhirs
Pour invoquer les Dieux afin qu'ils puissent nous bénir
Après cette prière avec mes frères sans faire état de zèle
Les chefs nous ont donné à tous des gorgées d'hydromel
Pour le courage, pour pas qu'il y ait de faille
Pour rester grands et fiers quand nous serons dans la bataille
Car c'est la première fois pour moi que je pars au combat
Et j'espère être digne de la tribu de Dana (Dana, Dana, Dana)
Dans la vallée, oh oh, de Dana, la-li-la-la
Dans la vallée, oh oh, j'ai pu entendre les échos
Dans la vallée, oh oh, de Dana, la-li-la-la
Dans la vallée, oh oh, des chants de guerre près des tombeaux
Après quelques incantations de druides et de magie
Toute la tribu, le glaive en main, courait vers l'ennemi
La lutte était terrible et je ne voyais que les ombres
Tranchant l'ennemi qui revenait toujours en surnombre
Mes frères tombaient l'un après l'autre devant mon regard
Sous le poids des armes que possédaient tous ces barbares
Des lances, des haches et des épées dans le jardin d'Éden
Qui écoulaient du sang sur l'herbe verte de la plaine
Comme ces jours de peine où l'homme se traîne
À la limite du règne, du mal et de la haine
Fallait-il continuer ce combat déjà perdu
Mais telle était la fierté de toute la tribu
La lutte a continué comme ça jusqu'au soleil couchant
De férocité extrême en plus d'acharnement
Fallait défendre la terre de nos ancêtres enterrés là
Et pour toutes les lois de la tribu de Dana (Dana, Dana, Dana)
Dans la vallée, oh oh, de Dana, la-li-la-la
Dans la vallée, oh oh, j'ai pu entendre les échos
Dans la vallée, oh oh, de Dana, la-li-la-la
Dans la vallée, oh oh, des chants de guerre près des tombeaux
Au bout de la vallée, on entendait le son d'une corne
D'un chef ennemi qui rappelait toute sa horde
Avait-il compris qu'on lutterait même en enfer
Et qu'à la tribu de Dana appartenaient ces terres?
Les guerriers repartaient et je ne comprenais pas
Tout le chemin qu'ils avaient fait pour en arriver là
Quand mon regard se posa tout autour de moi
J'étais le seul debout de la tribu voilà pourquoi
Mes doigts se sont écartés tout en lâchant mes armes
Et le long de mes joues se sont mises à couler des larmes
Je n'ai jamais compris pourquoi les Dieux m'ont épargné
De ce jour noir de notre histoire que j'ai conté
Le vent souffle toujours sur la Bretagne armoricaine
Et j'ai rejoint ma femme, mon fils et mon domaine
J'ai tout reconstruit de mes mains pour en arriver là
Je suis devenu roi de la tribu de Dana (Dana, Dana, Dana)
Dans la vallée, oh oh, de Dana, la-li-la-la
Dans la vallée, oh oh, j'ai pu entendre les échos
Dans la vallée, oh oh, de Dana, la-li-la-la
Dans la vallée, oh oh, des chants de guerre près des tombeaux
De la tribu de Dana (Dana, Dana)
Je suis devenu roi
De la tribu de Dana (Dana, Dana)
Je suis devenu roi
De la tribu de Dana (Dana, Dana, Dana)"
La Vie en Rose,Edith Piaf,"Des yeux qui font baisser les miens
Un rire qui se perd sur sa bouche
Voilà le portrait sans retouche
De l'homme auquel j'appartiens

Quand il me prend dans ses bras
Il me parle tout bas
Je vois la vie en rose

Il me dit des mots d'amour
Des mots de tous les jours
Et ça me fait quelque chose

Il est entré dans mon cœur
Une part de bonheur
Dont je connais la cause

C'est lui pour moi, moi pour lui dans la vie
Il me l'a dit, l'a juré pour la vie

Et dès que je l'aperçois
Alors je sens en moi
Mon cœur qui bat

Des nuits d'amour à plus finir
Un grand bonheur qui prend sa place
Des ennuis, des chagrins s'effacent
Heureux, heureux à en mourir

Quand il me prend dans ses bras
Il me parle tout bas
Je vois la vie en rose

Il me dit des mots d'amour
Des mots de tous les jours
Et ça me fait quelque chose

Il est entré dans mon cœur
Une part de bonheur
Dont je connais la cause

C'est toi pour moi, moi pour toi dans la vie
Il me l'a dit, l'a juré pour la vie

Et dès que je t'aperçois
Alors je sens en moi
Mon cœur qui bat"
La kiffance,Naps,"Okay
Prépare les valises, ma jolie (Zeg P on the track, bitch)
Tout ça, c'est fini
J'vais t'faire kiffer les week-ends, ma jolie (okay)
Elle m'parle plus du quartier, du shit, d'la police (ouh-ouh)
Toute la semaine, comme le J, en folie (han)
J'fais des cendriers-canettes dans l'Audi (vroum)
J'passe les vitesses aux palettes vers Conti
Vas-y, garde-moi la barrette, là, j'suis en condi'
Comme à l'ancienne, j'mets le polo crocodile (ouais)
Bronzage doré à l'huile de cocotier (okay)
Voyager jusqu'au Nirvana
Hôtel cinq étoiles, prendre le p'tit déj' en pyjama
Faire un p'tit pétou sur le Mont Fujiyama
Faire le tour d'la Thaïlande en 500 Yamaha (okay)
Faut j'quitte la France, elle a fait la petite frange
C'est la kiffance, c'est la kiffance
Que je dépense, gros joint devant la Défense
C'est la kiffance, c'est la kiffance (ouh-ouh)
J'prends Uber Eats, j'suis calé au George V
À la Ribéry, j'mange des entrecôtes à mille-cinq
J'vais faire un tour, j'suis sans casque en 125 (vroum-vroum)
J'suis dans la kiffance, j'me sens plus d'attendre le 5
J'fais plaisir à ma mère, dans l'ménage, elle a trop souffert (ouais, ouais)
Ma mère, c'est ma reine, j'la laisse même pas mettre les couverts (gamberge)
Quand j'étais en galère, elle m'dépannait à découvert (ouh)
Dernier Range Rover, que je rôde le toit ouvert
Faut j'quitte la France, elle a fait la petite frange (okay)
C'est la kiffance (okay), c'est la kiffance (okay)
Que je dépense, gros joint devant la Défense (ouh)
C'est la kiffance (ouh), c'est la kiffance (ouh-ouh)
Voyager jusqu'au Nirvana
Hôtel cinq étoiles, prendre le p'tit déj' en pyjama
Faire un p'tit pétou sur le Mont Fujiyama
Faire le tour d'la Thaïlande en 500 Yamaha (okay)
Faut j'quitte la France, elle a fait la petite frange (okay)
C'est la kiffance, c'est la kiffance (Manny)
Que je dépense, gros joint devant la Défense (okay)
C'est la kiffance (ouh), c'est la kiffance (ouh, ouh)
Faut j'quitte la France, elle a fait la petite frange (okay)
C'est la kiffance, c'est la kiffance
Que je dépense, gros joint devant la Défense
C'est la kiffance, c'est la kiffance
Voyager jusqu'au Nirvana
Hôtel cinq étoiles, prendre le p'tit déj' en pyjama (okay)
P'tit pétou sur le Mont Fujiyama
C'est la kiffance"
Le Chant des Sirènes,Fréro Delavega,"Enfants des parcs, gamins des plages
Le vent menace les châteaux de sable, façonnés de mes doigts
Le temps n'épargne personne, hélas
Les années passent, l'écho s'évade sur la Dune du Pyla
Au gré des saisons, des photomatons
Je m'abandonne à ces lueurs d'autrefois
Au gré des saisons, des décisions, je m'abandonne
Quand les souvenirs s'en mêlent, les larmes me viennent
Et le chant des sirènes me replonge en hiver
Oh, mélancolie cruelle, harmonie fluette, euphorie solitaire
Ta-dada-dan, ta-dada-da
Ta-dada-dan, ta-dada-da
Combien de farces, combien de frasques
Combien de traces, combien de masques
Avons-nous laissé là-bas
Poser les armes, prendre le large
Trouver le calme dans ce vacarme avant que je ne m'y noie
Au gré des saisons, des photomatons
Je m'abandonne à ces lueurs d'autrefois
Au gré des saisons, des décisions, je m'abandonne
Quand les souvenirs s'en mêlent, les larmes me viennent
Et le chant des sirènes me replonge en hiver
Oh, mélancolie cruelle, harmonie fluette, euphorie solitaire
Oh-oh
Quand les souvenirs s'en mêlent, les larmes me viennent
Et le chant des sirènes me replonge en hiver
Oh, mélancolie cruelle, harmonie fluette, euphorie solitaire
Quand les souvenirs s'en mêlent, les larmes me viennent
Et le chant des sirènes me replonge en hiver
Oh, mélancolie cruelle, harmonie fluette, euphorie solitaire
Ta-dada-dan, ta-dada-da
Ta-dada-dan, ta-dada-da
Tadalalala, tadalalala
Tadalalala, tadalala"
Les Champs-Elysées,Joe Dassin,"Je m′baladais sur l'avenue
Le cœur ouvert à l′inconnu
J'avais envie de dire bonjour
À n'importe qui
N′importe qui, et ce fut toi
Je t′ai dit n'importe quoi
Il suffisait de te parler
Pour t′apprivoiser

Aux Champs-Élysées
Aux Champs-Élysées
Au soleil, sous la pluie
À midi ou à minuit
Il y a tout c'que vous voulez
Aux Champs-Élysées


Tu m′as dit ""j'ai rendez-vous""
Dans un sous-sol avec des fous
Qui vivent la guitare à la main
Du soir au matin
Alors je t′ai accompagnée
On a chanté, on a dansé
Et l'on n'a même pas pensé
À s′embrasser

Aux Champs-Élysées
Aux Champs-Élysées
Au soleil, sous la pluie
À midi ou à minuit
Il y a tout ce que vous voulez
Aux Champs-Élysées

Hier soir deux inconnus
Et ce matin sur l′avenue
Deux amoureux tout étourdis
Par la longue nuit
Et de l'Étoile à la Concorde
Un orchestre à 1 000 cordes
Tous les oiseaux du point du jour
Chantent l′amour

Aux Champs-Élysées
Aux Champs-Élysées
Au soleil, sous la pluie
À midi ou à minuit
Il y a tout ce que vous voulez
Aux Champs-Élysées

Aux Champs-Élysées
Aux Champs-Élysées
Au soleil, sous la pluie
À midi ou à minuit
Il y a tout ce que vous voulez
Aux Champs-élysées
Aux Champs-élysées
Aux Champs-élysées"
